Step	Training Loss	reward	reward_std	kl	rewards / format_reward / mean	rewards / safety_level_reward / mean	rewards / group_reward / mean
100	0.139200	2.250	2.020	1.006	0.750	1.000	0.500
101	-0.043700	2.125	1.652	0.727	0.875	0.750	0.500
102	-0.021400	1.375	2.428	1.345	0.875	0.000	0.500
103	0.067200	1.000	4.082	1.844	1.000	-5.000	5.000
104	0.016600	3.500	1.290	0.660	1.000	1.250	1.250
105	-0.036900	2.875	1.652	1.227	0.875	1.500	0.500
106	0.477300	2.625	2.212	0.530	0.875	0.750	1.000
107	0.053200	4.000	0.000	0.542	1.000	2.000	1.000
108	0.139200	0.750	6.551	0.848	0.750	-6.000	6.000
109	-0.054900	1.000	3.676	0.516	1.000	-0.650	0.650
110	-0.008700	4.250	0.957	1.454	1.000	2.000	1.250
111	-0.050500	2.750	1.892	0.601	0.750	1.500	0.500
112	0.051000	4.750	8.539	0.645	1.000	-1.250	5.000
113	0.249000	2.125	2.174	0.570	0.875	0.750	0.500
114	-0.029500	3.125	1.750	0.531	0.875	1.500	0.750
115	-0.055400	3.000	2.000	0.717	1.000	1.250	0.750
116	0.006600	3.000	1.414	0.517	0.750	1.250	1.000
117	0.225400	4.250	0.500	0.733	1.000	2.000	1.250
118	0.021300	2.625	2.750	0.918	0.625	1.000	1.000
119	0.062600	-3.125	4.479	1.085	0.875	-6.000	2.000
120	0.076900	4.250	0.500	0.911	1.000	2.000	1.250
121	0.033700	4.750	0.957	1.325	1.000	2.000	1.750
122	1.952700	2.000	2.309	15.865	1.000	0.500	0.500
123	0.097500	3.750	0.500	0.654	1.000	2.000	0.750
124	-0.206400	5.000	4.618	0.565	1.000	-8.000	12.000
125	0.124900	4.250	0.500	0.559	1.000	2.000	1.250
126	0.031000	3.000	2.160	0.691	1.000	1.250	0.750
127	0.110300	1.125	1.931	0.951	0.875	0.000	0.250
128	0.256500	1.625	1.600	0.445	0.875	0.750	0.000
129	0.206400	3.250	1.500	1.480	1.000	1.250	1.000
130	0.283000	2.875	3.065	1.252	0.875	0.750	1.250
131	1.086500	2.500	1.732	0.948	0.500	1.500	0.500
132	0.226600	4.000	0.816	0.707	1.000	2.000	1.000
133	-0.065600	3.875	2.250	1.343	0.875	1.500	1.500
134	-0.060500	0.375	0.479	1.072	0.375	-2.000	2.000
135	0.862900	3.250	1.500	0.442	1.000	1.250	1.000
136	0.161000	3.250	2.500	0.520	1.000	1.250	1.000
137	-0.006500	3.500	1.000	0.888	1.000	2.000	0.500
138	0.066100	-3.000	4.618	0.835	1.000	-8.000	4.000
139	0.067900	3.250	2.363	0.603	1.000	1.250	1.000
140	-0.091800	2.750	2.062	0.824	1.000	1.250	0.500
141	0.369800	1.875	1.931	0.652	0.875	0.750	0.250
142	0.048900	1.000	5.774	0.738	1.000	-5.000	5.000
143	0.081300	1.625	2.250	0.521	0.625	0.500	0.500
144	0.017300	1.375	1.109	0.565	0.875	0.000	0.500
145	-0.168000	3.375	1.974	0.598	0.875	1.500	1.000
146	0.866500	3.000	2.000	0.739	0.750	1.500	0.750
147	0.215100	3.875	2.250	0.517	0.875	1.500	1.500
148	-0.218900	3.000	2.000	0.539	0.750	1.500	0.750
149	-0.458500	-3.500	4.041	2.223	0.500	-4.000	0.000
150	0.239300	3.500	0.577	1.738	1.000	2.000	0.500
